ard_millis,GPS Epoch Time,lat (deg),lat (min), long (deg),long (min),el (m),SOG (mm/s),COG (deg*1000),Vert Vel (mm/s)
325974,1489675439.00,-122,-2958954,37,3020553,-35.74,6637,242170,9
326371,1489675439.40,-122,-2959117,37,3020483,-35.68,6843,241820,-73
326768,1489675439.80,-122,-2959284,37,3020415,-35.72,6963,242110,12
327170,1489675440.20,-122,-2959455,37,3020345,-35.78,7158,242200,-17
327573,1489675440.60,-122,-2959630,37,3020269,-35.81,7428,241400,-38
327970,1489675441.00,-122,-2959807,37,3020195,-35.85,7374,241680,53
328370,1489675441.40,-122,-2959990,37,3020117,-35.72,7677,241560,-68
328765,1489675441.80,-122,-2960171,37,3020040,-35.71,7591,241690,-57
329164,1489675442.20,-122,-2960347,37,3019968,-35.82,7279,241870,-84
329572,1489675442.60,-122,-2960533,37,3019883,-35.80,7940,240980,-91
329965,1489675443.00,-122,-2960716,37,3019795,-35.76,7907,239740,-192
330364,1489675443.40,-122,-2960913,37,3019709,-35.71,8305,240860,-2
330760,1489675443.80,-122,-2961113,37,3019623,-35.74,8451,241670,3
331159,1489675444.20,-122,-2961321,37,3019529,-35.63,8795,239890,39
331563,1489675444.60,-122,-2961526,37,3019440,-35.64,8585,240800,42
331958,1489675445.00,-122,-2961727,37,3019349,-35.79,8514,239850,271
332361,1489675445.40,-122,-2961929,37,3019255,-35.73,8536,239950,184
332754,1489675445.80,-122,-2962125,37,3019170,-35.66,8180,242170,-2
333152,1489675446.20,-122,-2962319,37,3019082,-35.72,8272,239790,47
333551,1489675446.60,-122,-2962510,37,3019002,-35.98,8003,241890,221
333953,1489675447.00,-122,-2962694,37,3018921,-36.19,7845,241280,158
334350,1489675447.40,-122,-2962875,37,3018839,-36.17,7625,241370,132
334751,1489675447.80,-122,-2963050,37,3018765,-36.33,7341,241190,133
335181,1489675448.20,-122,-2963213,37,3018700,-36.40,6626,242330,101
335546,1489675448.60,-122,-2963365,37,3018640,-36.30,6064,243270,108
335947,1489675449.00,-122,-2963499,37,3018585,-35.96,5195,244760,-9
336349,1489675449.40,-122,-2963622,37,3018544,-36.26,5044,245160,83
336742,1489675449.80,-122,-2963734,37,3018515,-36.39,4262,247730,113
337139,1489675450.20,-122,-2963837,37,3018478,-36.25,4122,246690,-80
337537,1489675450.60,-122,-2963937,37,3018460,-36.09,3717,252160,-48
337940,1489675451.00,-122,-2964016,37,3018445,-36.18,2852,256230,-107
338343,1489675451.40,-122,-2964073,37,3018464,-36.35,2209,265220,108
338741,1489675451.80,-122,-2964140,37,3018451,-36.03,2310,259630,-46
339134,1489675452.20,-122,-2964198,37,3018452,-35.99,2231,264560,-182
339533,1489675452.60,-122,-2964255,37,3018471,-35.85,2280,273670,-169
339937,1489675453.00,-122,-2964309,37,3018483,-35.77,2048,279470,-97
340340,1489675453.40,-122,-2964355,37,3018492,-35.62,1927,287900,-89
340733,1489675453.80,-122,-2964403,37,3018502,-35.57,2086,292170,-131
341137,1489675454.20,-122,-2964455,37,3018533,-35.45,2427,300490,-161
341530,1489675454.60,-122,-2964502,37,3018573,-35.81,2507,308310,268
341929,1489675455.00,-122,-2964550,37,3018627,-35.72,2794,318350,247
342333,1489675455.40,-122,-2964590,37,3018694,-35.59,3450,327100,-21
342728,1489675455.80,-122,-2964629,37,3018755,-35.59,3073,329570,257
343126,1489675456.20,-122,-2964663,37,3018823,-35.70,3502,335010,189
343523,1489675456.60,-122,-2964679,37,3018895,-35.93,3556,343960,254
343926,1489675457.00,-122,-2964696,37,3018973,-35.96,3674,348070,189
344328,1489675457.40,-122,-2964706,37,3019045,-35.92,3747,349780,216
344719,1489675457.80,-122,-2964690,37,3019124,-35.82,4225,1860,223
345122,1489675458.20,-122,-2964660,37,3019209,-35.82,4669,12360,198
345518,1489675458.60,-122,-2964620,37,3019301,-35.60,4949,15380,220
345919,1489675459.00,-122,-2964577,37,3019402,-35.64,5127,16690,191
346324,1489675459.40,-122,-2964517,37,3019510,-35.71,5359,20250,152
346718,1489675459.80,-122,-2964463,37,3019612,-35.59,5371,22680,44
347117,1489675460.20,-122,-2964400,37,3019724,-35.68,5855,23200,42
347516,1489675460.60,-122,-2964335,37,3019836,-36.00,5788,23760,176
347916,1489675461.00,-122,-2964268,37,3019952,-35.90,6104,24240,47
348317,1489675461.40,-122,-2964199,37,3020072,-35.77,6277,24280,75
348712,1489675461.80,-122,-2964130,37,3020190,-35.30,6418,25290,34
349112,1489675462.20,-122,-2964059,37,3020317,-35.30,6688,24400,-2
349509,1489675462.60,-122,-2963983,37,3020446,-35.45,6626,24660,39
349911,1489675463.00,-122,-2963912,37,3020571,-35.72,6476,24460,89
350316,1489675463.40,-122,-2963843,37,3020697,-35.83,6621,24430,59
350709,1489675463.80,-122,-2963776,37,3020826,-36.18,6773,23940,113
351109,1489675464.20,-122,-2963712,37,3020967,-36.56,7155,22100,242
351510,1489675464.60,-122,-2963645,37,3021110,-36.92,7083,21550,460
351905,1489675465.00,-122,-2963573,37,3021254,-37.31,7311,21600,629
352307,1489675465.40,-122,-2963495,37,3021403,-37.79,7585,22230,860
352698,1489675465.80,-122,-2963407,37,3021556,-37.80,7805,22310,789
353099,1489675466.20,-122,-2963317,37,3021714,-38.15,8081,23470,918
353503,1489675466.60,-122,-2963217,37,3021879,-38.34,8495,24300,894
353896,1489675467.00,-122,-2963110,37,3022043,-38.32,8559,25650,729
354304,1489675467.40,-122,-2962999,37,3022210,-38.37,8783,26760,648
354699,1489675467.80,-122,-2962890,37,3022382,-38.16,8957,25590,396
